lokasi,name,rating,status,keteragan
https://www.google.com/maps/place/Saint+Mary%27s+Grotto+Pelindung+Segala+Bangsa/data=!4m7!3m6!1s0x2e23ad2c4c3a3c6b:0x5c212c825aecb5a8!8m2!3d-1.6436238!4d105.7782264!16s%2Fg%2F11cnm_5d6_!19sChIJazw6TCytIy4RqLXsWoIsIVw?authuser=0&hl=en&rclk=1,Saint Mary's Grotto Pelindung Segala Bangsa,4.3,Open 24 hours,
https://www.google.com/maps/place/Wisata+Alam+Batu+Belimbing+Bangka+Selatan/data=!4m7!3m6!1s0x2e3d818144341489:0x6f0369c2d3fc067c!8m2!3d-3.0056437!4d106.4454459!16s%2Fg%2F11bw47chv5!19sChIJiRQ0RIGBPS4RfAb808JpA28?authuser=0&hl=en&rclk=1,Wisata Alam Batu Belimbing Bangka Selatan,4.4,Open 24 hours,
https://www.google.com/maps/place/Pantai+Sumur+Tujuh+Koba/data=!4m7!3m6!1s0x2e3d50da0f21930b:0x499cba11ccad9ac8!8m2!3d-2.479566!4d106.4283552!16s%2Fg%2F11c5b1611w!19sChIJC5MhD9pQPS4RyJqtzBG6nEk?authuser=0&hl=en&rclk=1,Pantai Sumur Tujuh Koba,4.2,Open,⋅ Closes 10.00 pm
https://www.google.com/maps/place/Penyabong+Beach/data=!4m7!3m6!1s0x2e16eaea22792319:0x4c0dd823f4fbd9ca!8m2!3d-3.2385128!4d107.6402168!16s%2Fg%2F11b7ldmwlb!19sChIJGSN5IurqFi4Rytn79CPYDUw?authuser=0&hl=en&rclk=1,Penyabong Beach,4.4,Open 24 hours,
https://www.google.com/maps/place/Danau+Purun+Seliu/data=!4m7!3m6!1s0x2e16ed6a3ed3360d:0x9504965a80afac31!8m2!3d-3.2401133!4d107.524955!16s%2Fg%2F11np7q54z8!19sChIJDTbTPmrtFi4RMayvgFqWBJU?authuser=0&hl=en&rclk=1,Danau Purun Seliu,4.5,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Pantai+Pukan/data=!4m7!3m6!1s0x2e22954b22e5f2af:0x929c7da841df565!8m2!3d-2.0443367!4d106.1594233!16s%2Fg%2F11c52s1ndx!19sChIJr_LlIkuVIi4RZfUdhNrHKQk?authuser=0&hl=en&rclk=1,Pantai Pukan,4.3,Open 24 hours,
https://www.google.com/maps/place/Pantai+Tanjung+Binga/data=!4m7!3m6!1s0x2e176a1e0c8bba93:0xb102d8fb4bee2cc6!8m2!3d-2.5887898!4d107.6427736!16s%2Fg%2F11b8b2p6b8!19sChIJk7qLDB5qFy4RxizuS_vYArE?authuser=0&hl=en&rclk=1,Pantai Tanjung Binga,4.5,Open 24 hours,
https://www.google.com/maps/place/Pantai+Batu+Kapur+Bangka+Selatan/data=!4m7!3m6!1s0x2e3d81803dbe0b83:0xd8282fd92e0c289f!8m2!3d-3.0089309!4d106.4421565!16s%2Fg%2F11bxg8db4b!19sChIJgwu-PYCBPS4RnygMLtkvKNg?authuser=0&hl=en&rclk=1,Pantai Batu Kapur Bangka Selatan,4.3,Open 24 hours,
https://www.google.com/maps/place/Pulau+Kelayang/data=!4m7!3m6!1s0x2e1743637c35e829:0x52ff41558cc97ced!8m2!3d-2.5505284!4d107.6697737!16s%2Fg%2F11f6nfmh8g!19sChIJKeg1fGNDFy4R7XzJjFVB_1I?authuser=0&hl=en&rclk=1,Pulau Kelayang,4.8,Open 24 hours,
https://www.google.com/maps/place/Tanjung+Kemirai+Beach/data=!4m7!3m6!1s0x2e1631d5221911bb:0x703a2bdc2b40b436!8m2!3d-3.0811217!4d106.7260127!16s%2Fg%2F11d_2j4_4h!19sChIJuxEZItUxFi4RNrRAK9wrOnA?authuser=0&hl=en&rclk=1,Tanjung Kemirai Beach,4.1,Open 24 hours,
https://www.google.com/maps/place/Mangrove+Munjang+Kurau+Barat/data=!4m7!3m6!1s0x2e22b4f61f72c56d:0x670417ab79762d5b!8m2!3d-2.3251305!4d106.2210201!16s%2Fg%2F11c7w12lv6!19sChIJbcVyH_a0Ii4RWy12easXBGc?authuser=0&hl=en&rclk=1,Mangrove Munjang Kurau Barat,4.5,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Phak+Kak+Liang/data=!4m7!3m6!1s0x2e225337202a0685:0xfa9e6090a39bdaa9!8m2!3d-1.6654849!4d105.7910345!16s%2Fg%2F11c1ww0s71!19sChIJhQYqIDdTIi4Rqdqbo5Bgnvo?authuser=0&hl=en&rclk=1,Phak Kak Liang,4.2,Open,⋅ Closes 9.00 pm
https://www.google.com/maps/place/Wisata+Alam+Batu+Belimbing+Bangka+Selatan/data=!4m7!3m6!1s0x2e3d818144341489:0x6f0369c2d3fc067c!8m2!3d-3.0056437!4d106.4454459!16s%2Fg%2F11bw47chv5!19sChIJiRQ0RIGBPS4RfAb808JpA28?authuser=0&hl=en&rclk=1,Wisata Alam Batu Belimbing Bangka Selatan,4.4,Open 24 hours,
https://www.google.com/maps/place/Saint+Mary%27s+Grotto+Pelindung+Segala+Bangsa/data=!4m7!3m6!1s0x2e23ad2c4c3a3c6b:0x5c212c825aecb5a8!8m2!3d-1.6436238!4d105.7782264!16s%2Fg%2F11cnm_5d6_!19sChIJazw6TCytIy4RqLXsWoIsIVw?authuser=0&hl=en&rclk=1,Saint Mary's Grotto Pelindung Segala Bangsa,4.3,Open 24 hours,
https://www.google.com/maps/place/Travel+Kolong+Parks/data=!4m7!3m6!1s0x2e22c0ba961df0cd:0xc9840eeb61003a82!8m2!3d-2.1257679!4d106.14486!16s%2Fg%2F11gdtd4292!19sChIJzfAdlrrAIi4RgjoAYesOhMk?authuser=0&hl=en&rclk=1,Travel Kolong Parks,4,Open,⋅ Closes 5.30 pm
https://www.google.com/maps/place/Benteng+Toboali+Bangka+Selatan/data=!4m7!3m6!1s0x2e3d81797dfa0ded:0x2af66bd345ceef28!8m2!3d-3.0144346!4d106.4490414!16s%2Fg%2F11gmzlm64l!19sChIJ7Q36fXmBPS4RKO_ORdNr9io?authuser=0&hl=en&rclk=1,Benteng Toboali Bangka Selatan,4.3,Open 24 hours,
https://www.google.com/maps/place/DESA+WISATA+KREATIF+TERONG/data=!4m7!3m6!1s0x2e176ab5d1a1770f:0x4a1d2b5e1e3dc14c!8m2!3d-2.6431517!4d107.6476933!16s%2Fg%2F11f018qjqd!19sChIJD3eh0bVqFy4RTME9Hl4rHUo?authuser=0&hl=en&rclk=1,DESA WISATA KREATIF TERONG,4.6,Open,⋅ Closes 9.00 pm
"https://www.google.com/maps/place/Destinasi+Wisata+GEOSITE+BATU+BEGALANG,+Desa+Wisata+Kelubi/data=!4m7!3m6!1s0x2e10d33fbf1d141f:0x91b0823ebdeee64b!8m2!3d-2.8164633!4d108.1442689!16s%2Fg%2F11ft01hyqk!19sChIJHxQdvz_TEC4RS-buvT6CsJE?authuser=0&hl=en&rclk=1","Destinasi Wisata GEOSITE BATU BEGALANG, Desa Wisata Kelubi",4.9,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Kawasan+Wisata+Pantai+Pasir+Padi/data=!4m7!3m6!1s0x2e22bf92e3c8cd7b:0x9b662c21f21e09e0!8m2!3d-2.121119!4d106.1744499!16s%2Fg%2F11stnvjxpr!19sChIJe83I45K_Ii4R4Ake8iEsZps?authuser=0&hl=en&rclk=1,Kawasan Wisata Pantai Pasir Padi,4.6,Open now,
https://www.google.com/maps/place/Pantai+Teluk+Gembira/data=!4m7!3m6!1s0x2e16eb85e3ed38cb:0x6711e750d31f0f63!8m2!3d-3.196893!4d107.5853894!16s%2Fg%2F11sf7z5yzt!19sChIJyzjt44XrFi4RYw8f01DnEWc?authuser=0&hl=en&rclk=1,Pantai Teluk Gembira,4.5,Open now,
https://www.google.com/maps/place/OPEN+PIT+NAM+SALU+GEOSITE/data=!4m7!3m6!1s0x2e10cb6ea94c8949:0xc51c3e64b4533232!8m2!3d-2.7032526!4d108.0724434!16s%2Fg%2F11fn6kqd43!19sChIJSYlMqW7LEC4RMjJTtGQ-HMU?authuser=0&hl=en&rclk=1,OPEN PIT NAM SALU GEOSITE,4.5,Open,⋅ Closes 4.00 pm
https://www.google.com/maps/place/Merdeka+Town+Square+Park/data=!4m7!3m6!1s0x2e22c0df150fcbd9:0xb86b04688320caeb!8m2!3d-2.1211299!4d106.1127796!16s%2Fg%2F1hm3k2g6p!19sChIJ2csPFd_AIi4R68ogg2gEa7g?authuser=0&hl=en&rclk=1,Merdeka Town Square Park,4.4,Open 24 hours,
https://www.google.com/maps/place/Danau+pading/data=!4m7!3m6!1s0x2e3d5f5d1141f5cd:0x1388e9fe221716cb!8m2!3d-2.588395!4d106.5240946!16s%2Fg%2F11vcbdjvxx!19sChIJzfVBEV1fPS4RyxYXIv7piBM?authuser=0&hl=en&rclk=1,Danau pading,4.7,Open now,
https://www.google.com/maps/place/Pantai+Putat/data=!4m7!3m6!1s0x2e23ad7741472f7d:0x14492f99d9269bf0!8m2!3d-1.6245639!4d105.7386463!16s%2Fg%2F11cjj7t_dq!19sChIJfS9HQXetIy4R8Jsm2ZkvSRQ?authuser=0&hl=en&rclk=1,Pantai Putat,4.3,Open 24 hours,
https://www.google.com/maps/place/Pantai+Tuing+Indah/data=!4m7!3m6!1s0x2e225bb0c150f731:0xb3351a225ae4b2c3!8m2!3d-1.6584425!4d106.0213939!16s%2Fg%2F11qm_6hvfc!19sChIJMfdQwbBbIi4Rw7LkWiIaNbM?authuser=0&hl=en&rclk=1,Pantai Tuing Indah,4.5,Open,⋅ Closes 6.00 pm
https://www.google.com/maps/place/TELAGA+EMAS+BERSINAR/data=!4m7!3m6!1s0x2e22f38e89eba331:0x97febfd3e2570d94!8m2!3d-1.8421444!4d106.105424!16s%2Fg%2F11mv59__f6!19sChIJMaPriY7zIi4RlA1X4tO__pc?authuser=0&hl=en&rclk=1,TELAGA EMAS BERSINAR,4.4,Open,⋅ Closes 11.00 pm
https://www.google.com/maps/place/Bukit+Batu+Berambai+_+B3+Desa+Teru/data=!4m7!3m6!1s0x2e22c8ac07aaaa8b:0x2c25b6c701748ea!8m2!3d-2.2246065!4d106.0893008!16s%2Fg%2F11f04msyl0!19sChIJi6qqB6zIIi4R6kgXcGxbwgI?authuser=0&hl=en&rclk=1,Bukit Batu Berambai _ B3 Desa Teru,4.4,Open,⋅ Closes 6.00 pm
https://www.google.com/maps/place/Wisata+Bukit+Pinteir/data=!4m7!3m6!1s0x2e22c774a077580f:0xe39483d8605c8d73!8m2!3d-2.1929132!4d106.114049!16s%2Fg%2F11jdlxg4xy!19sChIJD1h3oHTHIi4Rc41cYNiDlOM?authuser=0&hl=en&rclk=1,Wisata Bukit Pinteir,4.6,Open 24 hours,
https://www.google.com/maps/place/Temberan+Beach/data=!4m7!3m6!1s0x2e22ead4601ab5db:0x76bb092059b91673!8m2!3d-2.0262463!4d106.1551124!16s%2Fg%2F11c2p90nc0!19sChIJ27UaYNTqIi4Rcxa5WSAJu3Y?authuser=0&hl=en&rclk=1,Temberan Beach,4.2,Open 24 hours,
https://www.google.com/maps/place/Wisata+Batu+Balai/data=!4m7!3m6!1s0x2e2366e1562446df:0xdb3c9df9cbb71b0c!8m2!3d-2.0282577!4d105.1549446!16s%2Fg%2F11gcc5t6xy!19sChIJ30YkVuFmIy4RDBu3y_mdPNs?authuser=0&hl=en&rclk=1,Wisata Batu Balai,4.1,Open 24 hours,
https://www.google.com/maps/place/Pantai+Penganak/data=!4m7!3m6!1s0x2e23bd160a9fdd69:0xafe5eaac1a149f03!8m2!3d-1.5958183!4d105.4360988!16s%2Fg%2F11b6rwmpgs!19sChIJad2fCha9Iy4RA58UGqzq5a8?authuser=0&hl=en&rclk=1,Pantai Penganak,4.1,Open 24 hours,
https://www.google.com/maps/place/Eco+Wisata+Gusong+Bugis/data=!4m7!3m6!1s0x2e1717030db7abc7:0x5b04f5f1e39f3952!8m2!3d-2.765375!4d107.6120633!16s%2Fg%2F11c54bf0fb!19sChIJx6u3DQMXFy4RUjmf4_H1BFs?authuser=0&hl=en&rclk=1,Eco Wisata Gusong Bugis,4.4,Open,⋅ Closes 6.00 pm
"https://www.google.com/maps/place/Pantai+Pulau+Tiga,+Bio/data=!4m7!3m6!1s0x2e225f6051d12aa3:0xf10eb017ba4d1166!8m2!3d-1.7583468!4d106.0899553!16s%2Fg%2F11c539nz_l!19sChIJoyrRUWBfIi4RZhFNuhewDvE?authuser=0&hl=en&rclk=1","Pantai Pulau Tiga, Bio",4.4,Open 24 hours,
https://www.google.com/maps/place/Aek+Lelap+Bedelew/data=!4m7!3m6!1s0x2e23b3b0ebfba8ed:0xc668889da217fda5!8m2!3d-1.6083631!4d105.7432151!16s%2Fg%2F11hfyff_bv!19sChIJ7aj767CzIy4Rpf0Xop2IaMY?authuser=0&hl=en&rclk=1,Aek Lelap Bedelew,4.4,Open,⋅ Closes 6.00 pm
https://www.google.com/maps/place/Bukit+Bebek+Emas/data=!4m7!3m6!1s0x2e22b9f536551429:0xabef48ba7428d440!8m2!3d-2.1965999!4d106.1882482!16s%2Fg%2F11h7_ssyjn!19sChIJKRRVNvW5Ii4RQNQodLpI76s?authuser=0&hl=en&rclk=1,Bukit Bebek Emas,4.5,Open,⋅ Closes 10.00 pm
https://www.google.com/maps/place/Wisata+Kampoeng+Reklamasi+Air+Jangkang/data=!4m7!3m6!1s0x2e22eb294d1ce15d:0x35dd88ec70e5ec1a!8m2!3d-1.9953136!4d106.120097!16s%2Fg%2F11k9h9l6xp!19sChIJXeEcTSnrIi4RGuzlcOyI3TU?authuser=0&hl=en&rclk=1,Wisata Kampoeng Reklamasi Air Jangkang,4.4,Open now,
https://www.google.com/maps/place/Pasir+Padi+Beach/data=!4m7!3m6!1s0x2e22bf6f5ec5ae65:0x9f7c4d0802b9384e!8m2!3d-2.1112291!4d106.1700998!16s%2Fg%2F11f3r1p4d2!19sChIJZa7FXm-_Ii4RTji5AghNfJ8?authuser=0&hl=en&rclk=1,Pasir Padi Beach,4.5,Open now,
https://www.google.com/maps/place/Pantai+Tanjung+Pao/data=!4m7!3m6!1s0x2e162d8e3930cba7:0x314b7d65742b376!8m2!3d-2.9633365!4d106.6278542!16s%2Fg%2F11hyv02_58!19sChIJp8swOY4tFi4RdrNCV9a3FAM?authuser=0&hl=en&rclk=1,Pantai Tanjung Pao,4.6,Open,⋅ Closes 5.30 pm
https://www.google.com/maps/place/Pan+Semujur+Beach/data=!4m7!3m6!1s0x2e22b84954c5dbf7:0x44f6856cf2ec02c5!8m2!3d-2.1875126!4d106.1990149!16s%2Fg%2F11f0krdgr2!19sChIJ99vFVEm4Ii4RxQLs8myF9kQ?authuser=0&hl=en&rclk=1,Pan Semujur Beach,4.2,,
https://www.google.com/maps/place/Wisata+Hutan+Pelawan/data=!4m7!3m6!1s0x2e3d4aca213ed8f3:0x6c845f27e0405001!8m2!3d-2.3675692!4d106.1833851!16s%2Fg%2F11dfh55z3_!19sChIJ89g-IcpKPS4RAVBA4CdfhGw?authuser=0&hl=en&rclk=1,Wisata Hutan Pelawan,3.9,Open,⋅ Closes 5.30 am Mon
https://www.google.com/maps/place/Puncak+Menumbing/data=!4m7!3m6!1s0x2e23665c12812ef7:0x8bac18b7d0558881!8m2!3d-2.0168617!4d105.1802787!16s%2Fg%2F11f15bkp__!19sChIJ9y6BElxmIy4RgYhV0LcYrIs?authuser=0&hl=en&rclk=1,Puncak Menumbing,4.4,Open,⋅ Closes 4.00 pm
https://www.google.com/maps/place/Pantai+Teluk+Karang/data=!4m7!3m6!1s0x2e22f5b461b179e7:0xebb9daaee3c1f1b4!8m2!3d-1.8026653!4d106.1264769!16s%2Fg%2F11t10vpnn2!19sChIJ53mxYbT1Ii4RtPHB467aues?authuser=0&hl=en&rclk=1,Pantai Teluk Karang,4.7,Closed,⋅ Opens 6.00 am Mon
https://www.google.com/maps/place/Pantai+Sumur+Tujuh+Koba/data=!4m7!3m6!1s0x2e3d50da0f21930b:0x499cba11ccad9ac8!8m2!3d-2.479566!4d106.4283552!16s%2Fg%2F11c5b1611w!19sChIJC5MhD9pQPS4RyJqtzBG6nEk?authuser=0&hl=en&rclk=1,Pantai Sumur Tujuh Koba,4.2,Open,⋅ Closes 10.00 pm
https://www.google.com/maps/place/Penyabong+Beach/data=!4m7!3m6!1s0x2e16eaea22792319:0x4c0dd823f4fbd9ca!8m2!3d-3.2385128!4d107.6402168!16s%2Fg%2F11b7ldmwlb!19sChIJGSN5IurqFi4Rytn79CPYDUw?authuser=0&hl=en&rclk=1,Penyabong Beach,4.4,Open 24 hours,
https://www.google.com/maps/place/Danau+Purun+Seliu/data=!4m7!3m6!1s0x2e16ed6a3ed3360d:0x9504965a80afac31!8m2!3d-3.2401133!4d107.524955!16s%2Fg%2F11np7q54z8!19sChIJDTbTPmrtFi4RMayvgFqWBJU?authuser=0&hl=en&rclk=1,Danau Purun Seliu,4.5,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Pantai+Pukan/data=!4m7!3m6!1s0x2e22954b22e5f2af:0x929c7da841df565!8m2!3d-2.0443367!4d106.1594233!16s%2Fg%2F11c52s1ndx!19sChIJr_LlIkuVIi4RZfUdhNrHKQk?authuser=0&hl=en&rclk=1,Pantai Pukan,4.3,Open 24 hours,
https://www.google.com/maps/place/Pantai+Tanjung+Binga/data=!4m7!3m6!1s0x2e176a1e0c8bba93:0xb102d8fb4bee2cc6!8m2!3d-2.5887898!4d107.6427736!16s%2Fg%2F11b8b2p6b8!19sChIJk7qLDB5qFy4RxizuS_vYArE?authuser=0&hl=en&rclk=1,Pantai Tanjung Binga,4.5,Open 24 hours,
https://www.google.com/maps/place/Pantai+Batu+Kapur+Bangka+Selatan/data=!4m7!3m6!1s0x2e3d81803dbe0b83:0xd8282fd92e0c289f!8m2!3d-3.0089309!4d106.4421565!16s%2Fg%2F11bxg8db4b!19sChIJgwu-PYCBPS4RnygMLtkvKNg?authuser=0&hl=en&rclk=1,Pantai Batu Kapur Bangka Selatan,4.3,Open 24 hours,
https://www.google.com/maps/place/Pulau+Kelayang/data=!4m7!3m6!1s0x2e1743637c35e829:0x52ff41558cc97ced!8m2!3d-2.5505284!4d107.6697737!16s%2Fg%2F11f6nfmh8g!19sChIJKeg1fGNDFy4R7XzJjFVB_1I?authuser=0&hl=en&rclk=1,Pulau Kelayang,4.8,Open 24 hours,
https://www.google.com/maps/place/Tanjung+Kemirai+Beach/data=!4m7!3m6!1s0x2e1631d5221911bb:0x703a2bdc2b40b436!8m2!3d-3.0811217!4d106.7260127!16s%2Fg%2F11d_2j4_4h!19sChIJuxEZItUxFi4RNrRAK9wrOnA?authuser=0&hl=en&rclk=1,Tanjung Kemirai Beach,4.1,Open 24 hours,
https://www.google.com/maps/place/Mangrove+Munjang+Kurau+Barat/data=!4m7!3m6!1s0x2e22b4f61f72c56d:0x670417ab79762d5b!8m2!3d-2.3251305!4d106.2210201!16s%2Fg%2F11c7w12lv6!19sChIJbcVyH_a0Ii4RWy12easXBGc?authuser=0&hl=en&rclk=1,Mangrove Munjang Kurau Barat,4.5,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Phak+Kak+Liang/data=!4m7!3m6!1s0x2e225337202a0685:0xfa9e6090a39bdaa9!8m2!3d-1.6654849!4d105.7910345!16s%2Fg%2F11c1ww0s71!19sChIJhQYqIDdTIi4Rqdqbo5Bgnvo?authuser=0&hl=en&rclk=1,Phak Kak Liang,4.2,Open,⋅ Closes 9.00 pm
